date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:32:35	1166/1166	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Jun%202023%2011:55:36%20GMT	http://manifesto.clapat.com/images/clients-top-white.png	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/clients-top-white.png	(from http://manifesto.clapat.com/css/shortcodes.css)
22:32:38	15141/15141	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Jun%202023%2011:51:08%20GMT	http://manifesto.clapat.com/images/clients-bottom.png	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/clients-bottom.png	(from http://manifesto.clapat.com/css/shortcodes.css)
22:32:39	1172/1172	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Jun%202023%2011:57:12%20GMT	http://manifesto.clapat.com/images/clients-bottom-white.png	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/clients-bottom-white.png	(from http://manifesto.clapat.com/css/shortcodes.css)
22:33:12	693176/693176	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202023%2008:48:39%20GMT	http://manifesto.clapat.com/images/projects/urbanedge03.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/urbanedge03.jpg	(from http://manifesto.clapat.com/project03.html)
22:33:22	261411/261411	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2014:52:51%20GMT	http://manifesto.clapat.com/images/projects/camarades01.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/camarades01.jpg	(from http://manifesto.clapat.com/project04.html)
22:33:24	67688/67688	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2015:45:17%20GMT	http://manifesto.clapat.com/images/projects/camarades02.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/camarades02.jpg	(from http://manifesto.clapat.com/project04.html)
22:33:33	69893/69893	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2015:45:20%20GMT	http://manifesto.clapat.com/images/projects/camarades03.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/camarades03.jpg	(from http://manifesto.clapat.com/project04.html)
22:33:35	65285/65285	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2015:45:24%20GMT	http://manifesto.clapat.com/images/projects/camarades04.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/camarades04.jpg	(from http://manifesto.clapat.com/project04.html)
22:33:46	65949/65949	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2015:45:10%20GMT	http://manifesto.clapat.com/images/projects/camarades06.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/camarades06.jpg	(from http://manifesto.clapat.com/project04.html)
22:33:47	82380/82380	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2015:45:07%20GMT	http://manifesto.clapat.com/images/projects/camarades05.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/camarades05.jpg	(from http://manifesto.clapat.com/project04.html)
22:33:58	90527/90527	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2015:45:13%20GMT	http://manifesto.clapat.com/images/projects/camarades07.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/camarades07.jpg	(from http://manifesto.clapat.com/project04.html)
22:43:00	8130829/8130829	---M--	200	added ('OK')	video/mp4	date:Mon,%2005%20Jun%202023%2015:17:10%20GMT	http://manifesto.clapat.com/images/about.mp4	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/about.mp4	(from http://manifesto.clapat.com/about.html)
22:47:22	15217554/15217554	---M--	200	added ('OK')	video/mp4	date:Thu,%2018%20May%202023%2015:00:19%20GMT	http://manifesto.clapat.com/images/04hero.mp4	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/04hero.mp4	(from http://manifesto.clapat.com/index-showcase-carousel.html)
22:47:45	128626/128626	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202023%2009:06:51%20GMT	http://manifesto.clapat.com/images/projects/heritage01.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/heritage01.jpg	(from http://manifesto.clapat.com/project06.html)
22:47:53	184056/184056	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202023%2014:32:38%20GMT	http://manifesto.clapat.com/images/projects/storm03.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/storm03.jpg	(from http://manifesto.clapat.com/project05.html)
22:48:02	106277/106277	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202023%2009:07:33%20GMT	http://manifesto.clapat.com/images/projects/heritage02.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/heritage02.jpg	(from http://manifesto.clapat.com/project06.html)
22:48:17	140814/140814	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202023%2009:07:57%20GMT	http://manifesto.clapat.com/images/projects/heritage03.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/heritage03.jpg	(from http://manifesto.clapat.com/project06.html)
22:48:18	95740/95740	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202023%2009:08:29%20GMT	http://manifesto.clapat.com/images/projects/heritage04.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/heritage04.jpg	(from http://manifesto.clapat.com/project06.html)
22:48:27	427140/427140	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202023%2014:32:19%20GMT	http://manifesto.clapat.com/images/projects/storm01.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/storm01.jpg	(from http://manifesto.clapat.com/project05.html)
22:48:43	148274/148274	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202023%2010:05:46%20GMT	http://manifesto.clapat.com/images/projects/serene02.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/serene02.jpg	(from http://manifesto.clapat.com/project07.html)
22:48:45	510113/510113	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202023%2014:32:30%20GMT	http://manifesto.clapat.com/images/projects/storm02.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/storm02.jpg	(from http://manifesto.clapat.com/project05.html)
22:48:54	229438/229438	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202023%2010:02:08%20GMT	http://manifesto.clapat.com/images/projects/serene01.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/serene01.jpg	(from http://manifesto.clapat.com/project07.html)
22:48:59	97188/97188	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202023%2010:10:09%20GMT	http://manifesto.clapat.com/images/projects/serene04.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/serene04.jpg	(from http://manifesto.clapat.com/project07.html)
22:49:03	112418/112418	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Jun%202023%2015:56:44%20GMT	http://manifesto.clapat.com/images/projects/serene05.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/projects/serene05.jpg	(from http://manifesto.clapat.com/project07.html)
